,param_0,param_1,sigma,S,f,ef,r,alpha,NPV_ent,n_firms,Pr_mean,EP,C_mean,C_max,Sigma2,n_entr,n_ext
65,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.0029136088669978032,15,0.004445272904325703,0.0009192095047691837,0.22708559283479968,0.24463584414921574,0.31801669956011736,1,3
66,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,0.009608952834003719,15,0.0063195959209708195,0.0005949579041238471,0.22572283036949267,0.2414186087226013,0.3168142620907288,1,1
67,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.09168466883580655,15,0.004999623324625735,0.0005094610554692656,0.2253593993011556,0.2414186087226013,0.3164935876186667,2,2
68,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.07601429200645644,15,0.006055320148947592,0.0004034134368109763,0.22490616079946238,0.2414186087226013,0.3160936712936433,1,1
69,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.10973569022669556,15,0.005861152472647074,-7.964515944987836e-05,0.22280591981810763,0.2368111314806753,0.31424051748656556,1,1
70,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.008044161104437715,14,0.008642561982097235,0.0010138026749135585,0.22098685607188845,0.23272809943038397,0.3183634990629024,0,1
71,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.045170533898014384,15,0.0069737694912807785,0.001249706198477649,0.22845024502041447,0.27353065855283903,0.31922080442977746,1,0
72,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,0.009915437230196904,16,0.005174757988508312,0.0010093174775129918,0.233140481961285,0.27353065855283903,0.3183470950766978,1,0
73,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.057700523331878875,16,0.004498589611220862,0.0008826060289294588,0.23261728113323094,0.27353065855283903,0.31788202767398305,1,1
74,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.06799227720205438,16,0.003752082068056219,0.0011095751974056576,0.2335519440545209,0.26047332441487747,0.31871283915957416,2,2
75,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.016048901825280112,16,0.00425088763047808,0.0010354551391508846,0.23324796396817216,0.26047332441487747,0.31844263463837524,1,1
76,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.0077876010442433485,17,0.0030527418394762956,0.000956197552393687,0.2379351649881869,0.28945220769292623,0.31815251604206196,2,1
77,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.08113917796065152,16,0.0031015146692853256,0.0010170729545632227,0.23317238932235243,0.2635884133436114,0.31837545717542437,2,3
78,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.007020189434304087,16,0.004635205405361042,0.0006779843890703328,0.2317647303260005,0.26311296655539507,0.3171242047342227,1,1
79,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.041324934230145646,17,0.0037229964164532357,0.0022853398007802537,0.24320227618696968,0.28641591491421853,0.32286519448307816,1,0
80,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.01399255651986382,17,0.0023410368420857127,0.0010593184335614212,0.23835677328274443,0.2692712149119851,0.31852974451613975,2,2
81,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.060988305484356145,17,0.002397216755029751,0.0009131683465292504,0.23775854904070676,0.2692712149119851,0.3179944912469481,2,2
82,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.026444841073057043,18,0.002674325220600177,0.0011994469019623952,0.24337671974975164,0.29039838550650454,0.3190390477747765,1,0
83,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.05329487948296206,18,0.0012468325157486142,0.000721711921284127,0.24142985351546653,0.2692712149119851,0.3172868681639199,2,2
